Marcia Griffiths;Electric Slide
Sir Mix-A-Lot;Baby Got Back
Garth Brooks;Friends In Low Places
Rednex;Cotton Eye Joe
Los Del Rio;Macarena
Vanilla Ice;Ice Ice Baby
Aerosmith;I Don't Want To Miss A Thing
Lonestar;Amazed
House Of Pain;Jump Around
Tim McGraw with Faith Hill;It's Your Love
Tim McGraw;My Best Friend
Brooks & Dunn;Boot Scootin' Boogie
Montell Jordan;This Is How We Do It
K-Ci & JoJo;All My Life
Alison Krauss;When You Say Nothing At All
69 Boyz;Tootsee Roll
Will Smith;Gettin' Jiggy Wit It
George Strait;I Cross My Heart
M.C. Hammer;U Can't Touch This
Bryan Adams;(Everything I Do) I Do It For You
Lou Bega;Mambo No. 5 (A Little Bit Of...)
Spice Girls;Wannabe
Nat King Cole & Natalie Cole;Unforgettable
John Travolta & Olivia Newton-John;Grease Megamix
Elton John;Can You Feel The Love Tonight
Shania Twain;From This Moment On
C+C Music Factory Featuring Freedom Williams;Gonna Make You Sweat (Everybody Dance Now)
Jagged Edge;Let's Get Married
Digital Underground;The Humpty Dance
DJ Kool;Let Me Clear My Throat
Bell Biv DeVoe;Poison
Blackstreet Featuring Dr. Dre;No Diggity
Backstreet Boys;Everybody (Backstreet's Back)
Edwin McCain;I'll Be
Garth Brooks;The Dance
Notorious B.I.G.;Hypnotize
Rod Stewart;Have I Told You Lately
Proclaimers;I'm Gonna Be (500 Miles)
Savage Garden;Truly Madly Deeply
Dave Matthews Band;Crash Into Me
Quad City DJ's;C'mon 'N Ride It (The Train)
Celine Dion;Because You Loved Me
Oasis;Wonderwall
2Pac Featuring Dr. Dre & Roger Troutman;California Love
Marky Mark & The Funky Bunch Featuring Loletta Holloway;Good Vibrations
Bob Carlisle;Butterfly Kisses
Sir Mix-A-Lot;Jump On It
Haddaway;What Is Love
Kenny Chesney;She Thinks My Tractor's Sexy
69 Boyz;Tootsie Roll
Sugarhill Gang;Apache
Backstreet Boys;I Want It That Way
Salt-N-Pepa;Shoop
Whitney Houston;I Will Always Love You
Tim McGraw;I Like it, I Love it
Goo Goo Dolls;Iris
AC/DC;Thunderstruck
Shania Twain;You're Still The One
Buster Poindexter;Hot Hot Hot
Notorious B.I.G. Featuring Puff Daddy & Ma$e;Mo Money Mo Problems
Right Said Fred;I'm Too Sexy
Garth Brooks;Ain't Going Down (Til The Sun Comes Up)
Hootie & The Blowfish;Only Wanna Be With You
Kenny Chesney;Me And You
Deee-Lite;Groove Is In The Heart
Sublime;What I Got
Green Day;Time Of Your Life (Good Riddance)
Billy Ray Cyrus;Achy Breaky Heart
Tag Team;Whoomp! (There It Is)
Garth Brooks;To Make You Feel My Love
All-4-One;I Swear
Juvenile;Back That Thang Up
Heavy D & The Boyz;Now That We Found Love
Shania Twain;Man! I Feel Like A Woman!
Santana Featuring Rob Thomas;Smooth
Wilson Phillips;Hold On
Boyz II Men;Motownphilly
Kris Kross;Jump
John Michael Montgomery;I Swear
Ricky Martin;Livin' La Vida Loca
Tracy Byrd;Watermelon Crawl
Brian McKnight;Back At One
George Strait;Check Yes Or No
David Lee Murphy;Dust On The Bottle
Brooks & Dunn;Neon Moon
Kenny Chesney;You Had Me From Hello
Madonna;Vogue
Sublime;Santeria
Snoop Doggy Dogg;Gin And Juice
Shania Twain;Any Man Of Mine
UB40;Can't Help Falling In Love
Deana Carter;Strawberry Wine
Brian Setzer Orchestra;Jump Jive An' Wail
Notorious B.I.G.;Big Poppa
Edwin McCain;I Could Not Ask For More
Aqua;Barbie Girl
Salt 'N Pepa;Whatta Man
Tim McGraw;I Like It I Love It
Israel Kamakawiwow'ole;Somewhere over the Rainbow
Warren G. & Nate Dogg;Regulate
