4 Non Blondes;What's Up
50 Cent;In Da Club
6ix9ine Ft. Anuel AA;Bebe
6ix9ine, Nicki Minaj, Murda Beatz;“FEFE”
6ix9ine;Gooba
a-ha;Take On Me
AC/DC;Back In Black
AC/DC;Thunderstruck
Adele;Hello
Adele;Rolling in the Deep
Adele;Send My Love (To Your New Lover)
Adele;Someone Like You
Akon ft. Eminem;Smack That
Alan Walker;Alone
Alan Walker;Faded
Alan Walker;The Spectre
Alvaro Soler;Sofia
Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin;China
Aqua;Barbie Girl
Arctic Monkeys;Do I Wanna Know?
Ariana Grande ft. Iggy Azalea;Problem
Ariana Grande ft. Nicki Minaj;Side To Side
Ariana Grande ft. Zedd;Break Free
Ariana Grande, The Weeknd;Love Me Harder
Ariana Grande;7 rings
Ariana Grande;Focus
Ariana Grande;Into You
Ariana Grande;no tears left to cry
AronChupa;I'm an Albatraoz
Audioslave;Like a Stone
Auli'i Cravalho;How Far I'll Go
Avicii;Waiting For Love
Avicii;Wake Me Up
Ayo & Teo;Rolex
Backstreet Boys;I Want It That Way
Bad Bunny feat. Drake;Mia
Bad Bunny;Amorfoda
Bebe Rexha feat. Florida Georgia Line;Meant to Be
Bella;Wolfine
Beyoncé;Halo
Beyoncé;Single Ladies (Put a Ring on It)
Billie Eilish, Khalid;lovely
Billie Eilish;bad guy
Black Eyed Peas, J Balvin;RITMO (Bad Boys For Life)
Bobby Shmurda;Hot N*gga
Bon Jovi;Always
Bon Jovi;It's My Life
Bon Jovi;Livin' On A Prayer
Bonnie Tyler;Total Eclipse of the Heart
Bruno Mars feat. Cardi B;Finesse
Bruno Mars;24K Magic
Bruno Mars;Grenade
Bruno Mars;It Will Rain
Bruno Mars;Just The Way You Are
Bruno Mars;Locked Out Of Heaven
Bruno Mars;That’s What I Like
Bruno Mars;The Lazy Song
Bruno Mars;When I Was Your Man
Calvin Harris & Disciples;How Deep Is Your Love
Calvin Harris ft. Ellie Goulding;I Need Your Love
Calvin Harris ft. Rihanna;This Is What You Came For
Calvin Harris, Dua Lipa;One Kiss
Calvin Harris;Blame ft. John Newman
Calvin Harris;Summer
Camila Cabello ft. Young Thug;Havana
Cardi B, Bad Bunny & J Balvin;I Like It
Cardi B;Bodak Yellow
Carlos Vives, Shakira;La Bicicleta
Carly Rae Jepsen;Call Me Maybe
Charlie Puth feat. Selena Gomez;We Don't Talk Anymore
Charlie Puth ft. Meghan Trainor;Marvin Gaye
Charlie Puth;Attention
Charlie Puth;One Call Away
Childish Gambino;This Is America
Chris Brown ft. Lil Wayne, Tyga;Loyal
Chris Jeday ft. J. Balvin, Ozuna, Arcángel;Ahora Dice
Christina Perri;A Thousand Years
Clean Bandit feat. Demi Lovato;Solo
Clean Bandit feat. Sean Paul & Anne-Marie;Rockabye
Clean Bandit feat. Zara Larsson;Symphony
Coldplay;Adventure Of A Lifetime
Coldplay;Hymn For The Weekend
Coldplay;Paradise
Coldplay;The Scientist
Coldplay;Viva La Vida
Crazy Frog;Axel F
Cyndi Lauper;Girls Just Want To Have Fun
Daddy Yankee & Snow;Con Calma
Daddy Yankee;Dura
Daddy Yankee;Limbo
Daddy Yankee;Shaky Shaky
David Guetta & Showtek ft.Vassy;Bad
David Guetta ft Nicki Minaj, Bebe Rexha & Afrojack;Hey Mama
David Guetta ft. Ne-Yo, Akon;Play Hard
David Guetta ft. Sia;Titanium
David Guetta, Bebe Rexha & J Balvin;Say My Name
Dillon Francis, DJ Snake;Get Low
Disturbed;The Sound Of Silence
DJ Khaled ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne;I'm The One
DJ Khaled ft. Rihanna, Bryson Tiller;Wild Thoughts
DJ Snake ft. Justin Bieber;Let Me Love You
DJ Snake ft. Selena Gomez, Ozuna, Cardi B;Taki Taki
DJ Snake, Lil Jon;Turn Down for What
Dr. Dre ft. Snoop Dogg;Still D.R.E.
Drake;God's Plan
Drake;Hotline Bling
Dua Lipa;IDGAF
Dua Lipa;New Rules
Dynoro & Gigi D’Agostino;In My Mind
Ed Sheeran;Give Me Love
Ed Sheeran;Perfect
Ed Sheeran;Photograph
Ed Sheeran;Shape of You
Ed Sheeran;Shape Of You
Ed Sheeran;Thinking Out Loud
Ellie Goulding;Burn
Ellie Goulding;Love Me Like You Do
Eminem ft. Rihanna;Love The Way You Lie
Eminem ft. Rihanna;The Monster (Explicit)
Eminem;Lose Yourself
Eminem;Not Afraid
Eminem;Rap God
Eminem;When I'm Gone
Eminem;Without Me
Enrique Iglesias ft. Descemer Bueno, Zion & Lennox;Subeme La Radio
Europe;The Final Countdown
Evanescence;Bring Me To Life
Evanescence;My Immortal
Farruko ft. Ky-Mani Marley;Chillax
Farruko, Bad Bunny, Rvssian;Krippy Kush
Fifth Harmony ft. Kid Ink;Worth It
Fifth Harmony ft. Ty Dolla $ign;Work from Home
Foster The People;Pumped up Kicks
French Montana ft. Swae Lee;Unforgettable
Frozen;Let It Go
Fun. ft. Janelle Monáe: We Are Young
Future;Life Is Good ft. Drake
Gotye feat. Kimbra;Somebody That I Used To Know
Guns N' Roses;November Rain
Guns N' Roses;Sweet Child O' Mine
Harry Styles;Sign of the Times
Hoobastank;The Reason
Iggy Azalea ft. Charli XCX;Fancy
Imagine Dragons;Believer
Imagine Dragons;Demons
Imagine Dragons;Radioactive
Imagine Dragons;Thunder
Imagine Dragons;Whatever It Takes
Israel "IZ" Kamakawiwoʻole;Somewhere over the Rainbow
J Balvin ft. Farruko;6 AM
J Balvin ft. Pharrell Williams, BIA, Sky;Safari
James Arthur;Say You Won't Let Go
Jason Derulo feat. Nicki Minaj & Ty Dolla $ign;Swalla
Jason Derulo feat. Snoop Dogg;Wiggle
Jennifer Lopez ft. Pitbull;On The Floor
Jennifer Lopez;Ain't Your Mama
Jessie J ft. B.o.B;Price Tag
Jessie J, Ariana Grande, Nicki Minaj;Bang Bang
Jhay Cortez, J. Balvin, Bad Bunny;No Me Conoce
Joey Montana;Picky
John Legend;All of Me
John Newman;Love Me Again
JoJo Siwa;Boomerang
Jonas Blue ft. JP Cooper;Perfect Strangers
Jonas Blue ft. William Singe;Mama
Justin Bieber ft. Jaden Smith;Never Say Never
Justin Bieber ft. Nicki Minaj;Beauty And A Beat
Justin Bieber;Baby
Justin Bieber;Boyfriend
Justin Bieber;Love Yourself
Justin Bieber;One Time
Justin Bieber;Sorry
Justin Bieber;What Do You Mean?
Justin Timberlake;Mirrors
KAROL G, Nicki Minaj;Tusa
KAROL G;Mi Cama
Katy Perry ft. Juicy J;Dark Horse
Katy Perry ft. Migos;Bon Appétit
Katy Perry ft. Nicki Minaj;Swish Swish
Katy Perry ft. Skip Marley;Chained To The Rhythm
Katy Perry;Firework
Katy Perry;Hot N Cold
Katy Perry;Last Friday Night (T.G.I.F.)
Katy Perry;Part Of Me
Katy Perry;Roar
Katy Perry;The One That Got Away
Katy Perry;This Is How We Do
Katy Perry;Wide Awake
Kendrick Lamar;Humble.
Khalid;Young Dumb & Broke
Kygo ft. Conrad Sewell;Firestone
Lady Gaga, Bradley Cooper;Shallow (from A Star Is Born)
Lady Gaga;Bad Romance
Lady Gaga;Poker Face
Lil Dicky feat. Chris Brown;Freaky Friday
Lil Pump;Gucci Gang
Lil Wayne ft. Bruno Mars;Mirror
Lil Wayne, Wiz Khalifa & Imagine Dragons w/ Logic & Ty Dolla $ign ft X Ambassadors;Sucker for Pain
Linkin Park;In The End
Linkin Park;Numb
Little Mix;Black Magic
LMFAO ft. Lauren Bennett, GoonRock;Party Rock Anthem
LMFAO;Sexy and I Know It
Lorde;Royals
Luis Fonsi ft. Daddy Yankee;Despacito
Lukas Graham;7 Years
Macklemore & Ryan Lewis Feat. Ray Dalton;Can't Hold Us
Macklemore & Ryan Lewis feat. Wanz;Thrift Shop
MAGIC!;Rude
Major Lazer & DJ Snake;Lean On
Major Lazer feat. Justin Bieber & MØ;Cold Water
Maluma ft. Trap Capos, Noriel, Bryant Myers, Juhn;Cuatro Babys
Maluma;HP
Mariah Carey;All I Want For Christmas Is You
Mark Ronson ft. Bruno Mars;Uptown Funk
Maroon 5 ft. Cardi B;Girls Like You
Maroon 5 ft. Christina Aguilera;Moves Like Jagger
Maroon 5;Animals
Maroon 5;One More Night
Maroon 5;Sugar
Marshmello & Anne-Marie;Friends
Marshmello;Alone
Martin Garrix;Animals
Meghan Trainor ft. John Legend;Like I'm Gonna Lose You
Meghan Trainor;All About That Bass
Metallica: Nothing Else Matters
Michael Jackson;Billie Jean
Michael Jackson;They Don’t Care About Us
Migos ft Lil Uzi Vert;Bad and Boujee
Mike Posner;I Took A Pill In Ibiza
Miley Cyrus;Party In The U.S.A.
Miley Cyrus;We Can't Stop
Miley Cyrus;Wrecking Ball
Natti Natasha ft. Ozuna;Criminal
Naughty Boy ft. Sam Smith;La la la
Nelly ft. Kelly Rowland;Dilemma
Nicki Minaj;Anaconda
Nicki Minaj;Super Bass
Nicky Jam;El Amante
Nirvana;Smells Like Teen Spirit
No Doubt;Don't Speak
Omarion Ft. Chris Brown & Jhene Aiko;Post To Be
OMI;Cheerleader
One Direction;Best Song Ever
One Direction;Drag Me Down
One Direction;Live While We're Young
One Direction;One Thing
One Direction;Story of My Life
