Johann Strauss II;The Blue Danube Waltz
Edvard Grieg;Peer Gynt (Morning Mood)
Johannes Brahms;Hungarian Dance No. 5
Richard Wagner;The Ride Of The Valkyries
Edward Elgar;Pomp And Circumstance
Georg Friderich Handel;Water Music
Giochino Rossini;William Tell Overture
Samuel Barber;Adagio For Strings
Giacomo Puccini;O Mio Bambino Caro
Giacomo Puccini;Nessun Dorma
Nikolai Rimsky-Korsakov;The Flight Of The Bumblebee
Maurice Ravel;Bolero
Pyotr Illyich Tchaikovsky;Swan Lake
Camille Saint-Saëns;The Swan
Jacques Offenbach;Can Can
Edgar William Elgar;Enigma Variations
Georges Bizet;Carmen
Sergei Prokofiev;Romeo And Juliet(Dance of the Knights)
Johann Pachelbel:Canon in D
Claude Debussy;Suita Bergamascque(Clair De Lune)
Antonio Vivaldi;Four Seasons(Spring)
Johann Sebastian Bach; Toccata and Fugue in D Minor
Joaquin Rodrigo;Concierto de Aranjuez
Wolfgang Amadeus Mozart;Eine kleine Nachtmusik
Ludwig van Beethoven;5th Symphony in C Minor
Ludwig van Beethoven;"Ode To Joy"
Ludwig van Beethoven;Moonlight Sonata
George Gershwin;Rhapsody in Blue
John Cage;4'33"
Johan Sebastian Bach;Cello Suite No. 1
