Led Zeppelin;Stairway to Heaven
Deep Purple;Smoke on the Water
Guns N' Roses;Sweet Child O' Mine
Metallica;Enter Sandman
AC/DC;You Shook Me All Night Long
Pink Floyd;Another Brick in the Wall
Nirvana;Smells Like Teen Spirit
Queen;Under Pressure
Metallica;Nothing Else Matters
AC/DC;Thunderstruck
Queen;We Are the Champions
AC/DC;Highway To Hell
The White Stripes;Seven Nation Army
Joan Jett & the Blackhearts;I Love Rock 'n' Roll
R.E.M.;Losing My Religion
Guns N' Roses;Paradise City
John Lennon;Imagine
Aerosmith;I Don't Want To Miss A Thing
Jet;Are You Gonna Be My Girl
Steppenwolf;Born to Be Wild
Disturbed;The Sound of Silence
Radiohead;Creep
Bon Jovi;It's My Life
Nickelback;Rockstar
Queen;Another One Bites the Dust
Queen;Bohemian Rhapsody
Green Day;Basket Case
Foo Fighters;The Pretender
The Black Keys;Lonely Boy
Bob Dylan;Knocking' On Heaven's Door
Oasis;Wonderwall
Green Day;American Idiot
Muse; Starlight
Arctic Monkeys; Do I Wanna Know?
